survey_id,survey_date,survey_persons,survey_start,survey_end,parliament_id,parliament_name,institute_id,institute_name,tasker_id,tasker_name,result_ssw,result_tierschutzpartei,result_fdp,result_die-partei,result_familie,result_bvb-fw,result_cdu-csu,result_biw,result_cdu,result_gruene,result_werteunion,result_bfth,result_linke,result_bayernpartei,result_piraten,result_sonstige,result_freie-waehler,result_bsw,result_volt,result_plus-brandenburg,result_npd,result_spd,result_bunt-saar,result_oedp,result_afd,result_csu
3748,2025-02-11,2502,2025-02-04,2025-02-10,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,29.0,,,14.0,,,6.0,,,7.0,,4.0,,,,16.0,,,20.0,
3747,2025-02-10,2006,2025-02-07,2025-02-10,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.0,,,,30.0,,,13.0,,,6.0,,,4.0,,5.5,,,,15.5,,,22.0,
3746,2025-02-08,1204,2025-02-03,2025-02-07,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,29.0,,,12.0,,,5.0,,,7.0,,6.0,,,,16.0,,,21.0,
3745,2025-02-07,1529,2025-02-05,2025-02-06,bundestag,Bundestag,pollytix,pollytix,pollytix,pollytix,,,4.0,,,,30.0,,,12.0,,,6.0,,,6.0,,5.0,,,,17.0,,,20.0,
3744,2025-02-07,1004,2025-01-28,2025-02-03,mecklenburg-vorpommern,Landtag von Mecklenburg-Vorpommern,forsa,Forsa,ostsee-zeitung,Ostsee-Zeitung,,,3.0,,,,,,16.0,7.0,,,8.0,,,7.0,,9.0,,,,21.0,,,29.0,
3743,2025-02-07,1011,2025-02-04,2025-02-07,bundestag,Bundestag,gms,GMS,gms,GMS,,,4.0,,,,30.0,,,14.0,,,5.0,,,5.0,2.0,4.0,,,,15.0,,,21.0,
3742,2025-02-07,1341,2025-02-04,2025-02-06,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.0,,,,30.0,,,15.0,,,6.0,,,6.0,,4.0,,,,15.0,,,20.0,
3741,2025-02-06,1000,2025-01-30,2025-01-31,bundestag,Bundestag,ipsos,Ipsos,ipsos,Ipsos,,,4.0,,,,29.0,,,13.0,,,4.0,,,8.0,,5.0,,,,16.0,,,21.0,
3740,2025-02-06,1302,2025-02-03,2025-02-05,bundestag,Bundestag,infratest-dimap,Infratest dimap,ard-tagesthemen,ARD-Tagesthemen,,,4.0,,,,31.0,,,14.0,,,5.0,,,6.0,,4.0,,,,15.0,,,21.0,
3739,2025-02-05,1000,2025-01-27,2025-02-03,thueringen,Thüringischer Landtag,insa,INSA,funke-medien-thueringen,FUNKE Medien Thüringen,,,,,,,,,25.0,4.0,,,11.0,,,5.0,,13.0,,,,7.0,,,35.0,
3738,2025-02-05,2181,2025-01-31,2025-02-04,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,29.0,,,12.0,,,6.0,,,4.0,,6.0,,,,18.0,,,22.0,
3737,2025-02-05,1164,2025-01-29,2025-02-03,hamburg,Hamburgische Bürgerschaft,infratest-dimap,Infratest dimap,ndr,NDR,,,3.0,,,,,,18.0,20.0,,,8.0,,,8.0,,3.0,,,,31.0,,,9.0,
3735,2025-02-04,2503,2025-01-28,2025-02-03,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,28.0,,,15.0,,,5.0,,,8.0,,4.0,,,,16.0,,,20.0,
3736,2025-02-03,1900,2025-02-01,2025-02-03,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,4.5,,,,28.0,,,12.0,,,5.0,,,6.5,2.5,5.5,,,,16.5,,,19.5,
3734,2025-02-03,2004,2025-01-31,2025-02-03,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.5,,,,30.0,,,13.0,,,5.0,,,4.0,,5.5,,,,16.0,,,22.0,
3733,2025-02-01,1203,2025-01-30,2025-01-31,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,30.0,,,12.0,,,4.0,,,5.0,,6.0,,,,17.0,,,22.0,
3732,2025-01-31,1461,2025-01-22,2025-01-28,bundestag,Bundestag,verian-emnid,Verian (Emnid),focus,FOCUS,,,4.0,,,,30.0,,,14.0,,,4.0,,,8.0,,5.0,,,,15.0,,,20.0,
3731,2025-01-30,1001,2025-01-30,2025-01-30,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.0,,,,29.0,,,13.0,,,4.0,,,5.0,,6.0,,,,17.0,,,22.0,
3730,2025-01-30,1336,2025-01-27,2025-01-29,bundestag,Bundestag,infratest-dimap,Infratest dimap,ard-tagesthemen,ARD-Tagesthemen,,,4.0,,,,30.0,,,15.0,,,5.0,,,7.0,,4.0,,,,15.0,,,20.0,
3729,2025-01-30,1428,2025-01-27,2025-01-29,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.0,,,,29.0,,,14.0,,,5.0,,,8.0,,4.0,,,,15.0,,,21.0,
3727,2025-01-29,1781,2025-01-24,2025-01-27,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,3.0,,,,29.0,,,13.0,,,5.0,,,5.0,,6.0,,,,15.0,,,23.0,
3728,2025-01-28,1000,2025-01-16,2025-01-18,bundestag,Bundestag,ipsos,Ipsos,ipsos,Ipsos,,,4.0,,,,30.0,,,14.0,,,3.0,,,8.0,,6.0,,,,16.0,,,19.0,
3726,2025-01-28,1185,2025-01-20,2025-01-25,mecklenburg-vorpommern,Landtag von Mecklenburg-Vorpommern,infratest-dimap,Infratest dimap,ndr,NDR,,,3.0,,,,,,17.0,6.0,,,7.0,,,5.0,,10.0,,,,22.0,,,30.0,
3725,2025-01-28,1000,2025-01-20,2025-01-27,brandenburg,Brandenburgischer Landtag,insa,INSA,maerkische-allgemeine-zeitung-maz-maerkische-oderzeitung-moz-lausitzer-rundschau-lr,Märkische Allgemeine Zeitung (MAZ) / Märkische Oderzeitung (MOZ) / Lausitzer Rundschau (LR),,,2.0,,,2.0,,,17.0,3.0,,,5.0,,,4.0,,13.0,,,,25.0,,,29.0,
3723,2025-01-28,2504,2025-01-21,2025-01-27,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,30.0,,,14.0,,,4.0,,,9.0,,3.0,,,,16.0,,,20.0,
3724,2025-01-27,890,2025-01-16,2025-01-20,hamburg,Hamburgische Bürgerschaft,trend-research-hamburg,Trend Research Hamburg,radio-hamburg-die-zeit,Radio Hamburg / Die ZEIT,,,3.0,,,,,,16.0,20.0,,,6.0,,,4.0,,3.0,3.0,,,34.0,,,11.0,
3722,2025-01-27,2006,2025-01-24,2025-01-27,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.5,,,,30.0,,,12.5,,,4.5,,,5.0,,6.0,,,,15.5,,,22.0,
3721,2025-01-26,1203,2025-01-20,2025-01-24,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,30.0,,,12.0,,,4.0,,,6.0,,7.0,,,,16.0,,,21.0,
3720,2025-01-25,1500,2025-01-21,2025-01-23,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,3.5,,,,28.5,,,14.0,,,3.5,,,6.0,1.5,4.5,,,,17.0,,,21.5,
3719,2025-01-24,1345,2025-01-21,2025-01-23,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.0,,,,30.0,,,14.0,,,5.0,,,8.0,,3.0,,,,15.0,,,21.0,
3718,2025-01-23,1015,2025-01-07,2025-01-19,bundestag,Bundestag,allensbach,Allensbach,frankfurter-allgemeine-zeitung,Frankfurter Allgemeine Zeitung,,,4.0,,,,34.0,,,13.5,,,,,,6.5,,5.0,,,,17.0,,,20.0,
3717,2025-01-22,1000,2025-01-13,2025-01-20,schleswig-holstein,Landtag von Schleswig-Holstein,insa,INSA,bild,BILD,6.0,,4.0,,,,,,39.0,13.0,,,,,,3.0,2.0,3.0,,,,16.0,,,14.0,
3716,2025-01-22,1858,2025-01-17,2025-01-20,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,28.0,,,15.0,,,4.0,,,6.0,,6.0,,,,19.0,,,19.0,
3715,2025-01-21,2502,2025-01-14,2025-01-20,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,31.0,,,13.0,,,3.0,,,10.0,,4.0,,,,16.0,,,19.0,
3714,2025-01-20,2008,2025-01-17,2025-01-20,bundestag,Bundestag,insa,INSA,bild,BILD,,,5.0,,,,29.0,,,13.0,,,4.0,,,4.5,,7.0,,,,16.0,,,21.5,
3713,2025-01-18,1206,2025-01-13,2025-01-17,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,5.0,,,,29.0,,,13.0,,,4.0,,,5.0,,7.0,,,,16.0,,,21.0,
3712,2025-01-18,2000,2025-01-13,2025-01-16,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,4.0,,,,29.0,,,15.0,,,2.5,,,6.0,2.0,4.0,,,,16.5,,,21.0,
3711,2025-01-16,1000,2025-01-08,2025-01-13,sachsen-anhalt,Landtag von Sachsen-Anhalt,insa,INSA,bild,BILD,,,4.0,,,,,,32.0,3.0,,,4.0,,,4.0,,14.0,,,,8.0,,,31.0,
3710,2025-01-15,1771,2025-01-10,2025-01-14,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,30.0,,,14.0,,,4.0,,,5.0,,6.0,,,,18.0,,,21.0,
3709,2025-01-15,1159,2025-01-09,2025-01-13,hamburg,Hamburgische Bürgerschaft,infratest-dimap,Infratest dimap,ndr,NDR,,,4.0,,,,,,17.0,22.0,,,5.0,,,8.0,,4.0,,,,31.0,,,9.0,
3708,2025-01-14,2504,2025-01-07,2025-01-13,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,31.0,,,13.0,,,3.0,,,9.0,,4.0,,,,16.0,,,20.0,
3707,2025-01-13,2005,2025-01-10,2025-01-13,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.0,,,,31.0,,,13.0,,,3.5,,,5.0,,6.5,,,,15.0,,,22.0,
3705,2025-01-11,1205,2025-01-06,2025-01-10,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,30.0,,,13.0,,,3.0,,,6.0,,6.0,,,,16.0,,,22.0,
3703,2025-01-10,1433,2025-01-07,2025-01-09,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.0,,,,30.0,,,15.0,,,4.0,,,8.0,,4.0,,,,14.0,,,21.0,
3704,2025-01-09,1000,2025-01-02,2025-01-04,bundestag,Bundestag,ipsos,Ipsos,ipsos,Ipsos,,,4.0,,,,30.0,,,13.0,,,3.0,,,6.0,2.0,7.0,,,,16.0,,,19.0,
3702,2025-01-09,1323,2025-01-06,2025-01-08,bundestag,Bundestag,infratest-dimap,Infratest dimap,ard-tagesthemen,ARD-Tagesthemen,,,4.0,,,,31.0,,,14.0,,,4.0,,,7.0,,5.0,,,,15.0,,,20.0,
3701,2025-01-08,1908,2024-12-03,2025-01-06,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,5.0,,,,29.0,,,14.0,,,3.0,,,6.0,,6.0,,,,16.0,,,21.0,
3706,2025-01-07,2501,2024-12-23,2025-01-06,sachsen,Sächsischer Landtag,civey,Civey,saechsische-zeitung,Sächsische Zeitung,,,2.0,,,,,,32.0,7.0,,,4.0,,,5.0,2.0,7.0,,,,5.0,,,36.0,
3700,2025-01-07,1501,2025-01-02,2025-01-06,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,3.0,,,,32.0,,,12.0,,,3.0,,,10.0,,4.0,,,,17.0,,,19.0,
3699,2025-01-06,2001,2025-01-03,2025-01-06,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.0,,,,31.0,,,13.5,,,3.0,,,5.0,,6.5,,,,15.5,,,21.5,
3698,2025-01-05,1201,2024-12-30,2025-01-03,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,31.0,,,13.0,,,3.0,,,6.0,,7.0,,,,16.0,,,20.0,
3697,2025-01-03,1010,2024-12-27,2025-01-02,bundestag,Bundestag,gms,GMS,gms,GMS,,,4.0,,,,33.0,,,13.0,,,3.0,,,7.0,2.0,4.0,,,,16.0,,,18.0,
3695,2024-12-30,2004,2024-12-27,2024-12-30,bundestag,Bundestag,insa,INSA,bild,BILD,,,3.5,,,,31.0,,,12.0,,,4.0,,,5.5,,7.0,,,,16.5,,,20.5,
3696,2024-12-29,2000,2024-12-21,2024-12-28,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,4.0,,,,28.0,,,15.5,,,2.5,,,6.0,2.0,6.0,,,,18.0,,,18.0,
3694,2024-12-28,1002,2024-12-23,2024-12-27,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,31.0,,,12.0,,,3.0,,,6.0,,7.0,,,,17.0,,,20.0,
3693,2024-12-23,2010,2024-12-20,2024-12-23,bundestag,Bundestag,insa,INSA,bild,BILD,,,5.0,,,,31.0,,,12.5,,,3.0,,,5.0,,8.0,,,,16.0,,,19.5,
3692,2024-12-23,2008,2024-12-17,2024-12-20,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,3.0,,,,31.0,,,13.0,,,4.0,,,10.0,,4.0,,,,16.0,,,19.0,
3690,2024-12-21,1205,2024-12-16,2024-12-19,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,5.0,,,,32.0,,,12.0,,,3.0,,,4.0,,8.0,,,,16.0,,,20.0,
3687,2024-12-20,1452,2024-12-11,2024-12-17,bundestag,Bundestag,verian-emnid,Verian (Emnid),focus,FOCUS,,,4.0,,,,31.0,,,14.0,,,3.0,,,8.0,,5.0,,,,17.0,,,18.0,
3686,2024-12-20,1006,2024-11-30,2024-12-12,bundestag,Bundestag,allensbach,Allensbach,frankfurter-allgemeine-zeitung,Frankfurter Allgemeine Zeitung,,,4.0,,,,36.0,,,12.0,,,,,,8.0,,6.0,,,,16.0,,,18.0,
3685,2024-12-20,1362,2024-12-17,2024-12-19,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,3.0,,,,31.0,,,14.0,,,4.0,,,9.0,,5.0,,,,15.0,,,19.0,
3688,2024-12-19,1003,2024-11-22,2024-12-11,hessen,Hessischer Landtag,forsa,Forsa,osthessen-news,Osthessen|News,,,3.0,,,,,,38.0,14.0,,,3.0,,,8.0,,3.0,,,,15.0,,,16.0,
3684,2024-12-19,1336,2024-12-16,2024-12-18,bundestag,Bundestag,infratest-dimap,Infratest dimap,ard-tagesthemen,ARD-Tagesthemen,,,3.0,,,,33.0,,,14.0,,,3.0,,,9.0,,5.0,,,,14.0,,,19.0,
3683,2024-12-17,2501,2024-12-10,2024-12-16,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,30.0,,,13.0,,,3.0,,,10.0,,4.0,,,,17.0,,,19.0,
3682,2024-12-16,2002,2024-12-13,2024-12-16,bundestag,Bundestag,insa,INSA,bild,BILD,,,5.0,,,,31.5,,,11.5,,,2.5,,,5.5,,8.0,,,,16.5,,,19.5,
3681,2024-12-16,886,2024-12-05,2024-12-10,hamburg,Hamburgische Bürgerschaft,trend-research-hamburg,Trend Research Hamburg,radio-hamburg-die-zeit,Radio Hamburg / Die ZEIT,,,4.0,,,,,,17.0,20.0,,,7.0,,,4.0,,4.0,3.0,,,32.0,,,10.0,
3691,2024-12-16,1500,2024-12-14,2024-12-16,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,4.5,,,,29.0,,,15.0,,,2.5,,,4.0,3.0,5.0,,,,20.0,,,17.0,
3680,2024-12-14,1203,2024-12-09,2024-12-13,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,5.0,,,,31.0,,,11.0,,,3.0,,,5.0,,8.0,,,,17.0,,,20.0,
3679,2024-12-12,1508,2024-11-26,2024-12-04,nordrhein-westfalen-nrw,Landtag von Nordrhein-Westfalen,forsa,Forsa,nrw-tageszeitungen,NRW-Tageszeitungen,,,3.0,,,,,,41.0,14.0,,,2.0,,,8.0,,3.0,,,,16.0,,,13.0,
3678,2024-12-12,1156,2024-12-05,2024-12-10,baden-wuerttemberg,Landtag von Baden-Württemberg,infratest-dimap,Infratest dimap,swr,SWR,,,4.0,,,,,,33.0,22.0,,,,,,9.0,,4.0,,,,13.0,,,15.0,
3676,2024-12-12,1175,2024-12-05,2024-12-10,rheinland-pfalz,Landtag von Rheinland-Pfalz,infratest-dimap,Infratest dimap,swr-zur-sache-rheinland-pfalz,SWR Zur Sache Rheinland-Pfalz,,,4.0,,,,,,32.0,11.0,,,,,,7.0,4.0,4.0,,,,24.0,,,14.0,
3677,2024-12-11,1000,2024-12-02,2024-12-09,thueringen,Thüringischer Landtag,insa,INSA,funke-medien-thueringen,FUNKE Medien Thüringen,,,,,,,,,25.0,4.0,,,12.0,,,4.0,,14.0,,,,7.0,,,34.0,
3674,2024-12-10,1183,2024-12-04,2024-12-07,brandenburg,Brandenburgischer Landtag,infratest-dimap,Infratest dimap,rbb-brandenburg-aktuell-antenne-brandenburg,RBB Brandenburg aktuell / Antenne Brandenburg,,,,,,,,,15.0,5.0,,,4.0,,,6.0,,12.0,,,,28.0,,,30.0,
3673,2024-12-10,2501,2024-12-03,2024-12-09,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,31.0,,,13.0,,,3.0,,,10.0,,4.0,,,,17.0,,,18.0,
3672,2024-12-09,2004,2024-12-06,2024-12-09,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.5,,,,31.5,,,11.5,,,3.0,,,5.0,,8.0,,,,17.0,,,19.5,
3671,2024-12-07,1202,2024-12-02,2024-12-06,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,4.0,,,,32.0,,,12.0,,,4.0,,,5.0,,8.0,,,,16.0,,,19.0,
3689,2024-12-07,1000,2024-11-25,2024-12-02,baden-wuerttemberg,Landtag von Baden-Württemberg,insa,INSA,schwaebische-zeitung,Schwäbische Zeitung,,,6.0,,,,,,34.0,20.0,,,3.0,,,3.0,,6.0,,,,11.0,,,17.0,
3670,2024-12-06,2000,2024-12-02,2024-12-05,bundestag,Bundestag,institut-wahlkreisprognose,Institut Wahlkreisprognose,institut-wahlkreisprognose,Institut Wahlkreisprognose,,,3.0,,,,31.0,,,11.5,,,3.0,,,6.0,3.0,3.5,,,,18.5,,,20.5,
3668,2024-12-06,1433,2024-12-03,2024-12-05,bundestag,Bundestag,forschungsgruppe-wahlen,Forschungsgruppe Wahlen,zdf-politbarometer,ZDF-Politbarometer,,,4.0,,,,33.0,,,14.0,,,3.0,,,9.0,,5.0,,,,15.0,,,17.0,
3669,2024-12-05,1007,2024-11-11,2024-11-29,niedersachsen,Niedersächsischer Landtag,allensbach,Allensbach,drei-quellen-mediengruppe,Drei Quellen-Mediengruppe,,,4.0,,,,,,33.0,10.0,,,,,,2.0,4.0,4.0,,,,27.0,,,16.0,
3667,2024-12-05,1307,2024-12-02,2024-12-04,bundestag,Bundestag,infratest-dimap,Infratest dimap,ard-tagesthemen,ARD-Tagesthemen,,,4.0,,,,32.0,,,14.0,,,3.0,,,8.0,,5.0,,,,16.0,,,18.0,
3666,2024-12-05,1000,2024-11-29,2024-12-01,bundestag,Bundestag,ipsos,Ipsos,ipsos,Ipsos,,,3.0,,,,32.0,,,13.0,,,3.0,,,5.0,3.0,7.0,,,,16.0,,,18.0,
3665,2024-12-05,1879,2024-11-29,2024-12-03,bundestag,Bundestag,yougov,YouGov,yougov,YouGov,,,4.0,,,,30.0,,,13.0,,,3.0,,,6.0,1.0,7.0,,,,18.0,,,19.0,
3675,2024-12-04,1000,2024-11-18,2024-11-25,mecklenburg-vorpommern,Landtag von Mecklenburg-Vorpommern,insa,INSA,nordkurier,Nordkurier,,,2.0,,,,,,19.0,5.0,,,5.0,,,5.0,,16.0,,,,21.0,,,27.0,
3664,2024-12-03,1005,2024-11-27,2024-12-02,bundestag,Bundestag,gms,GMS,gms,GMS,,,4.0,,,,34.0,,,13.0,,,3.0,,,6.0,2.0,6.0,,,,15.0,,,17.0,
3663,2024-12-03,2502,2024-11-26,2024-12-02,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,3.0,,,,32.0,,,12.0,,,4.0,,,11.0,,4.0,,,,16.0,,,18.0,
3662,2024-12-02,2003,2024-11-29,2024-12-02,bundestag,Bundestag,insa,INSA,bild,BILD,,,4.5,,,,31.5,,,13.0,,,3.5,,,5.5,,7.5,,,,16.0,,,18.5,
3660,2024-11-30,1201,2024-11-25,2024-11-29,bundestag,Bundestag,insa,INSA,bild-am-sonntag,BILD am Sonntag,,,5.0,,,,32.0,,,13.0,,,3.0,,,6.0,,8.0,,,,15.0,,,18.0,
3661,2024-11-29,1432,2024-11-20,2024-11-26,bundestag,Bundestag,verian-emnid,Verian (Emnid),focus,FOCUS,,,4.0,,,,32.0,,,13.0,,,3.0,,,9.0,,6.0,,,,15.0,,,18.0,
3659,2024-11-27,1177,2024-11-20,2024-11-25,hamburg,Hamburgische Bürgerschaft,infratest-dimap,Infratest dimap,ndr,NDR,,,3.0,,,,,,19.0,21.0,,,6.0,,,5.0,,4.0,3.0,,,30.0,,,9.0,
3658,2024-11-26,2500,2024-11-19,2024-11-25,bundestag,Bundestag,forsa,Forsa,rtl-n-tv,RTL / n-tv,,,4.0,,,,32.0,,,12.0,,,4.0,,,11.0,,4.0,,,,15.0,,,18.0,
